Contributor,January 2017
intel.com,7449
gmail.com,6870
redhat.com,3630
linaro.org,2866
kernel.org,2803
google.com,2443
amd.com,2403
ibm.com,1872
chromium.org,1697
chris-wilson.co.uk,1440
linux-foundation.org,1390
samsung.com,1367
davemloft.net,1230
arm.com,1224
mellanox.com,1147
canonical.com,1017
collabora.com,944
lixom.net,920
suse.de,909
ti.com,877
oracle.com,839
codeaurora.org,829
arndb.de,806
igalia.com,785
fb.com,776
infradead.org,772
lip6.fr,723
imgtec.com,723
broadcom.com,703
free-electrons.com,692
nxp.com,651
sandisk.com,615
st.com,588
synopsys.com,586
baylibre.com,558
huawei.com,517
lst.de,513
cavium.com,511
ideasonboard.com,464
roeck-us.net,459
microsoft.com,403
mediatek.com,389
glider.be,381
renesas.com,331
whitecape.org,327
rock-chips.com,324
ffwll.ch,322
users.sourceforge.net,316
milecki.pl,310
pengutronix.de,297
linuxfoundation.org,294
googlemail.com,293
osg.samsung.com,292
mev.co.uk,282
verge.net.au,280
mess.org,280
suse.com,264
matheina.com,260
atomide.com,253
ozlabs.org,252
aosc.xyz,252
windriver.com,236
cumulusnetworks.com,223
networkplumber.org,211
marvell.com,210
Netapp.com,210
socionext.com,206
qca.qualcomm.com,205
csie.org,200
anholt.net,195
iogearbox.net,191
unisys.com,190
lechnology.com,190
suse.cz,184
savoirfairelinux.com,181
w1.fi,180
vmware.com,176
realtek.com,171
tronnes.org,150
solarflare.com,150
osadl.org,150
onstation.org,150
aleksander.es,143
i2se.com,141
ericsson.com,140
cogentembedded.com,140
sakamocchi.jp,132
texas.net,130
hisilicon.com,130
axentia.se,130
sntech.de,124
gmx.de,123
gibson.dropbear.id.au,123
wanadoo.fr,121
skynet.be,121
phrozen.org,120
lapa.com.au,120
distanz.ch,120
quantatw.com,111
alum.mit.edu,111
strlen.de,110
lunn.ch,110
chelsio.com,110
Cavium.com,110
phytec.de,109
collabora.co.uk,108
nvidia.com,107
basnieuwenhuizen.nl,106
m4x.org,103
linux-m68k.org,101
twiddle.net,96
cn.fujitsu.com,94
ragnatech.se,91
aj.id.au,90
mit.edu,87
qti.qualcomm.com,86
lwfinger.net,83
boundarydevices.com,83
amarulasolutions.com,83
opensource.wolfsonmicro.com,81
linuxhacker.ru,80
atmel.com,80
163.com,80
denx.de,78
linux-mips.org,76
xmission.com,74
metafoo.de,74
primarydata.com,72
linutronix.de,72
profitbricks.com,71
zx2c4.com,70
tycho.nsa.gov,70
networkimprov.net,70
crowfest.net,70
rowland.harvard.edu,68
android.com,68
cisco.com,65
zeniv.linux.org.uk,64
secunet.com,62
kaiser.cx,61
hauke-m.de,61
codethink.co.uk,61
stgolabs.net,60
sigmadesigns.com,60
narfation.org,60
majess.pl,60
iki.fi,60
codeblueprint.co.uk,60
cera.cz,60
brocade.com,60
alphalink.fr,60
albanarts.com,60
paulk.fr,59
toradex.com,58
xilinx.com,55
tieto.com,55
hughsie.com,55
gondor.apana.org.au,54
mleia.com,53
alliedtelesis.co.nz,53
aheymans.xyz,52
dev.mellanox.co.il,51
axis.com,51
tpip.net,50
raspberrypi.org,50
ovn.org,50
netronome.com,50
jms.id.au,50
it-klinger.de,50
iotwrt.com,50
hpe.com,50
embedded.rocks,50
alemayhu.com,50
HansenPartnership.com,50
konsulko.com,47
goodmis.org,47
bidouilliste.com,47
kaod.org,46
ens.fr,45
maciej.szmigiero.name,41
kernel.crashing.org,41
wdc.com,40
ucw.cz,40
systec-electronic.com,40
sang-engineering.com,40
nwl.cc,40
nokia.com,40
netfilter.org,40
nbd.name,40
microchip.com,40
messages.microsoft.com,40
m.soramichi.jp,40
lge.com,40
c-s.fr,40
az8.co,40
alexanderkoch.net,40
web.de,36
nuvoton.com,36
free.fr,35
cworth.org,35
sonymobile.com,33
gentoo.org,33
siemens.com,32
sandeen.net,32
emlix.com,32
perches.com,31
obsidianresearch.com,31
nordicsemi.no,31
mentor.com,31
lse.epita.fr,31
kleine-koenig.org,31
synaptics.com,30
stevens-zone.net,30
semihalf.com,30
opengridcomputing.com,30
luxul.com,30
lucaceresoli.net,30
keymile.com,30
jmondi.org,30
grimberg.me,30
fau.de,30
dell.com,30
chronox.de,30
raptorengineering.com,28
ispras.ru,28
holtmann.org,25
bwidawsk.net,25
mork.no,24
mail.parknet.co.jp,24
ite.com.tw,24
hotmail.com,24
citrix.com,24
vaisala.com,23
virtuozzo.com,22
xs4all.nl,21
walle.cc,21
tsyrklevich.net,21
rwth-aachen.de,21
riseup.net,21
nod.at,21
armadeus.com,21
adirat.com,21
yandex.ru,20
yahoo.es,20
vplace.de,20
uclouvain.be,20
tkos.co.il,20
templeofstupid.com,20
sgi.com,20
robotics-erlangen.de,20
prodys.net,20
prevas.dk,20
popple.id.au,20
opensource.altera.com,20
mojatatu.com,20
makrotopia.org,20
leblancnet.us,20
kempniu.pl,20
ikuai8.com,20
iitkgp.ac.in,20
ieee.org,20
hartkopp.net,20
gmx.com,20
gateworks.com,20
formelder.dk,20
epam.com,20
ellerman.id.au,20
electromag.com.au,20
docker.com,20
cray.com,20
ce.jp.nec.com,20
cadence.com,20
blala.de,20
bitron.ch,20
benyossef.com,20
alcatel-sbell.com.cn,20
akamai.com,20
Oracle.com,20
KARO-electronics.de,20
I-love.SAKURA.ne.jp,20
ettus.com,19
trendmicro.com.cn,15
online.de,15
rndity.com,14
grinn-global.com,13
emc.com.tw,13
s-opensource.com,12
ni.com,12
neratec.com,12
topic.nl,11
rockwellcollins.com,11
post.com,11
mvista.com,11
mail.ru,11
codemonkey.org.uk,11
buserror.net,11
beckhoff.com,11
zonque.org,10
yahoo.com.au,10
xes-inc.com,10
wooyd.org,10
westermo.se,10
welchs.me.uk,10
weave.works,10
vincit.fi,10
umangis.me,10
uf.jp.nec.com,10
tremily.us,10
treewalker.org,10
tisys.org,10
tiscali.nl,10
thegavinli.com,10
tessares.net,10
sssup.it,10
sierrawireless.com,10
sequanux.org,10
schaufler-ca.com,10
samba.org,10
sai.msu.ru,10
rvc.renesas.com,10
rsyncme.org,10
redmandi.dyndns.org,10
reccoware.de,10
ranostay.consulting,10
queasysnail.net,10
quarkslab.com,10
qcore.com,10
pqgruber.com,10
ploskey.com,10
pefoley.com,10
paul-moore.com,10
pacabunga.com,10
pabigot.com,10
oxygene.sk,10
outlook.com,10
ou.edu,10
openwrt.org,10
openvz.org,10
open-mesh.com,10
omnibond.com,10
nikanor.nu,10
nibe.se,10
nexus-software.ie,10
newflow.co.uk,10
megous.com,10
matrox.com,10
math.uni-bielefeld.de,10
lwn.net,10
loongson.cn,10
lintech.de,10
lespocky.de,10
kylinos.cn,10
kernel.dk,10
kb.kras.ru,10
juliacomputing.com,10
ibn-labs.com,10
iagoabal.eu,10
hazent.com,10
h3c.com,10
goldelico.com,10
gmx.net,10
ge.com,10
gcd.de,10
felipetonello.com,10
fastquake.com,10
fastmail.fm,10
etu.utc.fr,10
esh.hu,10
erig.me,10
emilgedda.se,10
embedded-bits.co.uk,10
efficios.com,10
ecrips.co.uk,10
digikod.net,10
deebas.com,10
dd-wrt.com,10
datenfreihafen.org,10
das-labor.org,10
cwphoto.ca,10
cvidal.org,10
cs.columbia.edu,10
crome.org,10
cradlepoint.com,10
colorfullife.com,10
cmpxchg.org,10
ceva-dsp.com,10
caviumnetworks.com,10
bur0k.de,10
blough.us,10
bitmer.com,10
avagotech.com,10
au1.ibm.com,10
atsec.com,10
atamisk.net,10
aspeedtech.com,10
apm.com,10
amazon.com,10
albis-elcon.com,10
agner.ch,10
PaulSD.com,10
6wind.com,10
1wt.eu,10
vidarholen.net,9
weilnetz.de,7
reactos.org,7
oblong.com,7
melfas.com,7
kde.org,7
compulab.co.il,7
openedev.com,6
kitware.com,6
vivier.eu,5
valvesoftware.com,5
sixbynine.org,5
otdel-1.org,5
nigauri.org,5
molgen.mpg.de,5
lists.freedesktop.org,5
jlekstrand.net,5
freedesktop.org,5
foolstep.com,5
engestrom.ch,5
dev.carbon-project.org,5
arm.linux.org.uk,5
linux-ipv6.be,4
kerlink.fr,4
daynix.com,4
corna.info,4
360.cn,4
mail.uni-paderborn.de,3
lesniak-it.de,3
kamp.de,3
ens-lyon.org,3
debian.org,3
crashcourse.ca,3
ac.upc.edu,3
zamaudio.com,2
yandex-team.ru,2
tw.synaptics.com,2
tuxfamily.org,2
tribudubois.net,2
theobroma-systems.com,2
sysgo.com,2
qq.com,2
phst,2
philjordan.eu,2
no-log.org,2
jolla.com,2
ingics.com,2
gpartner-nvidia.com,2
gmx.at,2
codewalr.us,2
c-lab.de,2
zeitkunst.eu,1
yandex.com,1
yahoo.co.jp,1
weidmueller.com,1
vittgam.net,1
visionengravers.com,1
vdwaa.nl,1
twopensource.com,1
tuxera.com,1
trimble.com,1
tls.msk.ru,1
the-dreams.de,1
synology.com,1
suug.ch,1
sonarnerd.net,1
russell.cc,1
rasmusvillemoes.dk,1
protonic.nl,1
posteo.de,1
plaes.org,1
openbsd.org,1
mprobst,1
mina86.com,1
linux-powerpc.org,1
laposte.net,1
kynesim.co.uk,1
kolivas.org,1
hurleysoftware.com,1
grassart.com,1
gnu.org,1
giis.co.in,1
freescale.com,1
fingerprints.com,1
fedoraproject.org,1
d-silva.org,1
cyrius.com,1
corsac.net,1
corp.bluecherry.net,1
codecoup.pl,1
cendio.se,1
bluebottle.com,1
bitland.com.cn,1
amaiorano,1
aggios.com,1
