Contributor,July 2020
chromium.org,2513
google.com,1781
gmail.com,1020
intel.com,489
redhat.com,377
collabora.com,321
codeaurora.org,162
amd.com,119
kernel.org,115
jlekstrand.net,104
huawei.com,104
marek.ca,100
itsqueeze.com,88
semihalf.com,84
anholt.net,80
ideasonboard.com,75
linux-foundation.org,70
keemail.me,67
linaro.org,63
quanta.corp-partner.google.com,53
noos.fr,53
engestrom.ch,53
igalia.com,44
quantatw.com,38
ibm.com,34
bitland.corp-partner.google.com,34
suse.de,32
mediatek.com,32
oracle.com,30
basnieuwenhuizen.nl,30
realtek.com,29
microchip.com,27
mellanox.com,27
holtmann.org,25
coreboot.org,24
canonical.com,24
schuermann.dev,23
linuxfoundation.org,21
felixheld.de,21
lst.de,20
arm.com,20
darkrain42.org,19
wiwynn.com,18
suse.com,18
ragnatech.se,18
nxp.com,18
bootlin.com,17
microsoft.com,16
compal.corp-partner.google.com,15
chris-wilson.co.uk,15
pegatron.corp-partner.google.com,14
mev.co.uk,14
chelsio.com,14
infradead.org,13
fb.com,13
atomide.com,12
alum.mit.edu,12
synopsys.com,11
raspberrypi.com,11
posteo.net,11
pengutronix.de,11
molgen.mpg.de,11
displaylink.com,11
davemloft.net,11
9elements.com,10
tuxera.com,9
bur.io,9
baylibre.com,9
windriver.com,8
wacom.com,8
sang-engineering.com,8
rere.qmqm.pl,8
neverware.com,8
marvell.com,8
ite.com.tw,8
globallogic.com,8
FreeBSD.org,8
emc.com.tw,8
maximintegrated.com,7
linutronix.de,7
intel.corp-partner.google.com,7
endlessm.com,7
amd.corp-partner.google.com,7
zju.edu.cn,6
wanadoo.fr,6
virtuozzo.com,6
samsung.com,6
rock-chips.com,6
nvidia.com,6
nokia.com,6
ispras.ru,6
I-love.SAKURA.ne.jp,6
gmx.de,6
das-labor.org,6
csie.org,6
alliedtelesis.co.nz,6
wdc.com,5
ti.com,5
suse.cz,5
sifive.com,5
samsung.corp-partner.google.com,5
queasysnail.net,5
onstation.org,5
netapp.com,5
marcan.st,5
imgtec.com,5
hauke-m.de,5
geanix.com,5
dell.com,5
broadcom.com,5
baikalelectronics.ru,5
apple.com,5
163.com,5
wizzup.org,4
wistron.corp-partner.google.com,4
vivo.com,4
sigluy.net,4
secunet.com,4
qti.qualcomm.com,4
pm.me,4
pensando.io,4
mniewoehner.de,4
lemote.com,4
lca.pw,4
kernel.dk,4
jp.fujitsu.com,4
gondor.apana.org.au,4
glider.be,4
embeddedor.com,4
arndb.de,4
android.com,4
tu-ilmenau.de,3
toxicpanda.com,3
timesys.com,3
synology.com,3
sealevel.com,3
linux-m68k.org,3
lightbitslabs.com,3
intenta.de,3
imagination.corp-partner.google.com,3
i-love.sakura.ne.jp,3
iki.fi,3
huaqin.corp-partner.google.com,3
grimberg.me,3
goodmis.org,3
gerhold.net,3
emc.com,3
bell.net,3
0upti.me,3
woland.xyz,2
whitecape.org,2
walle.cc,2
users.sourceforge.net,2
unrelenting.technology,2
unisoc.com,2
umn.edu,2
uajain.com,2
toerring.de,2
system76.com,2
sysam.it,2
sin9yt.net,2
siemens.com,2
roeck-us.net,2
renesas.com,2
rasmusvillemoes.dk,2
qca.qualcomm.com,2
phytium.com.cn,2
obviux.dk,2
netfilter.org,2
mykernel.net,2
joelfernandes.org,2
ivitera.com,2
hisilicon.com,2
HansenPartnership.com,2
googlemail.com,2
freedesktop.org,2
flameeyes.com,2
ffwll.ch,2
emersion.fr,2
efficios.com,2
compal.com,2
cn.alps.com,2
c0d3.blue,2
bytedance.com,2
bcheng.me,2
ya.ru,1
yandex.ru,1
xs4all.nl,1
waldekranz.com,1
vt.edu,1
v3.sk,1
uniontech.com,1
ucloud.cn,1
ubuntu.com,1
tsoy.me,1
sntech.de,1
siliconmotions.corp-partner.google.com,1
riseup.net,1
retarded.farm,1
realtek.com.tw,1
puri.sm,1
public.gmane.org,1
pld-linux.org,1
outlook.com.au,1
opensynergy.com,1
omprussia.ru,1
nuvoton.com,1
Netapp.com,1
motorola.com,1
mkarcher.dialup.fu-berlin.de,1
maciej.szmigiero.name,1
loongson.cn,1
logitech.com,1
linux.alibaba.com,1
lebedev.lt,1
lcfc.corp-partner.google.com,1
lanl.gov,1
kwiboo.se,1
konsulko.com,1
jmondi.org,1
ite.corp-partner.google.com,1
iscas.ac.cn,1
ingics.com,1
imkreisrum.de,1
heine.so,1
habana.ai,1
git.mail.kapsi.fi,1
gibson.dropbear.id.au,1
gateworks.com,1
fudan.edu.cn,1
ericsson.com,1
elan.corp-partner.google.com,1
denx.de,1
debian.org,1
cn.fujitsu.com,1
cmss.chinamobile.com,1
cloudflare.com,1
ch1p.com,1
cesarb.eti.br,1
cadence.com,1
boichat.ch,1
bobcopeland.com,1
benyossef.com,1
bbc.co.uk,1
analogixsemi.com,1
amd-corp-partner.google.com,1
amazon.com,1
aheymans.xyz,1
3mdeb.com,1
